# region	tier	task	RuneLite requirement expression
Kourend & Kebos	hard	Plant some Logavano seeds at the Tithe Farm.	new SkillRequirement(Skill.FARMING, 74)
Kourend & Kebos	hard	Deliver an artefact to Captain Khaled.	new SkillRequirement(Skill.THIEVING, 49)
Kourend & Kebos	hard	Kill a Wyrm in the Karuulm Slayer Dungeon.	new SkillRequirement(Skill.SLAYER, 62)
Kourend & Kebos	hard	Cast Monster Examine on a Troll south of Mount Quidamortem.	new SkillRequirement(Skill.MAGIC, 66), new QuestRequirement(Quest.DREAM_MENTOR)
Kourend & Kebos	elite	Craft one or more Blood runes from Dark essence fragments.	new SkillRequirement(Skill.RUNECRAFT, 77), new SkillRequirement(Skill.MINING, 38), new SkillRequirement(Skill.CRAFTING, 38)
Kourend & Kebos	elite	Chop some Redwood logs.	new SkillRequirement(Skill.WOODCUTTING, 90)
Kourend & Kebos	elite	Catch an Anglerfish and cook it whilst in Great Kourend.	new SkillRequirement(Skill.FISHING, 82), new SkillRequirement(Skill.COOKING, 84)
Kourend & Kebos	elite	Kill a Hydra in the Karuulm Slayer Dungeon.	new SkillRequirement(Skill.SLAYER, 95)
Kourend & Kebos	elite	Create an Ape Atoll teleport tablet.	new SkillRequirement(Skill.MAGIC, 90), new SkillRequirement(Skill.MINING, 38), new SkillRequirement(Skill.CRAFTING, 38)
Kourend & Kebos	elite	Create your own Battlestaff from scratch within the Farming Guild.	new SkillRequirement(Skill.FARMING, 85), new SkillRequirement(Skill.FLETCHING, 40)
Lumbridge & Draynor	easy	Slay a Cave bug beneath Lumbridge Swamp.	new SkillRequirement(Skill.SLAYER, 7)
Lumbridge & Draynor	easy	Have Sedridor teleport you to the Essence Mine.	new QuestRequirement(Quest.RUNE_MYSTERIES)
Lumbridge & Draynor	easy	Craft some water runes from Essence.	new SkillRequirement(Skill.RUNECRAFT, 5)
Lumbridge & Draynor	easy	Chop and burn some oak logs in Lumbridge.	new SkillRequirement(Skill.WOODCUTTING, 15), new SkillRequirement(Skill.FIREMAKING, 15)
Lumbridge & Draynor	easy	Catch some Anchovies in Al Kharid.	new SkillRequirement(Skill.FISHING, 15)
Lumbridge & Draynor	easy	Bake some Bread on the Lumbridge kitchen range.	new QuestRequirement(Quest.COOKS_ASSISTANT)
Lumbridge & Draynor	easy	Mine some Iron ore at the Al Kharid mine.	new SkillRequirement(Skill.MINING, 15)
Lumbridge & Draynor	medium	Complete a lap of the Al Kharid agility course.	new SkillRequirement(Skill.AGILITY, 20)
Lumbridge & Draynor	medium	Grapple across the River Lum.	new SkillRequirement(Skill.AGILITY, 8), new SkillRequirement(Skill.STRENGTH, 19), new SkillRequirement(Skill.RANGED, 37)
Lumbridge & Draynor	medium	Purchase an upgraded device from Ava.	new SkillRequirement(Skill.RANGED, 50), new QuestRequirement(Quest.ANIMAL_MAGNETISM)
Lumbridge & Draynor	medium	Travel to the Wizards' Tower by Fairy ring.	new QuestRequirement(Quest.FAIRYTALE_II__CURE_A_QUEEN, true)
Lumbridge & Draynor	medium	Cast the teleport to Lumbridge spell.	new SkillRequirement(Skill.MAGIC, 31)
Lumbridge & Draynor	medium	Catch some Salmon in Lumbridge.	new SkillRequirement(Skill.FISHING, 30)
Lumbridge & Draynor	medium	Craft a coif in the Lumbridge cow pen.	new SkillRequirement(Skill.CRAFTING, 38)
Lumbridge & Draynor	medium	Chop some willow logs in Draynor Village.	new SkillRequirement(Skill.WOODCUTTING, 30)
Lumbridge & Draynor	medium	Pickpocket Martin the Master Gardener.	new SkillRequirement(Skill.THIEVING, 38)
Lumbridge & Draynor	medium	Get a slayer task from Chaeldar.	new CombatLevelRequirement(70), new QuestRequirement(Quest.LOST_CITY)
Lumbridge & Draynor	medium	Catch an Essence or Eclectic impling in Puro-Puro.	new SkillRequirement(Skill.HUNTER, 42), new QuestRequirement(Quest.LOST_CITY)
Lumbridge & Draynor	medium	Craft some Lava runes at the fire altar in Al Kharid.	new SkillRequirement(Skill.RUNECRAFT, 23)
Lumbridge & Draynor	hard	Cast Bones to Peaches in Al Kharid palace.	new SkillRequirement(Skill.MAGIC, 60)
Lumbridge & Draynor	hard	Squeeze past the jutting wall on your way to the cosmic altar.	new SkillRequirement(Skill.AGILITY, 46), new QuestRequirement(Quest.LOST_CITY)
Lumbridge & Draynor	hard	Craft 56 Cosmic runes simultaneously from Essence without the use of Extracts.	new SkillRequirement(Skill.RUNECRAFT, 59), new QuestRequirement(Quest.LOST_CITY)
Lumbridge & Draynor	hard	Travel from Lumbridge to Edgeville on a Waka Canoe.	new SkillRequirement(Skill.WOODCUTTING, 57)
Lumbridge & Draynor	hard	Collect at least 100 Tears of Guthix in one visit.	new QuestRequirement(Quest.TEARS_OF_GUTHIX)
Lumbridge & Draynor	hard	Take the train from Dorgesh-Kaan to Keldagrim.	new QuestRequirement(Quest.ANOTHER_SLICE_OF_HAM)
Lumbridge & Draynor	hard	Purchase some Barrows gloves from the Lumbridge bank chest.	new QuestRequirement(Quest.RECIPE_FOR_DISASTER)
Lumbridge & Draynor	hard	Pick some Belladonna from the farming patch at Draynor Manor.	new SkillRequirement(Skill.FARMING, 63)
Lumbridge & Draynor	hard	Light your mining helmet in the Lumbridge castle basement.	new SkillRequirement(Skill.FIREMAKING, 65)
Lumbridge & Draynor	hard	Recharge your prayer at the Emir's Arena with Smite activated.	new SkillRequirement(Skill.PRAYER, 52)
Lumbridge & Draynor	hard	Craft, string and enchant an Amulet of Power in Lumbridge.	new SkillRequirement(Skill.CRAFTING, 70), new SkillRequirement(Skill.MAGIC, 57)
Lumbridge & Draynor	elite	Steal from a Dorgesh-Kaan rich chest.	new SkillRequirement(Skill.THIEVING, 78), new QuestRequirement(Quest.DEATH_TO_THE_DORGESHUUN)
Lumbridge & Draynor	elite	Grapple across a pylon on the Dorgesh-Kaan Agility Course.	new SkillRequirement(Skill.AGILITY, 70), new SkillRequirement(Skill.RANGED, 70), new SkillRequirement(Skill.STRENGTH, 70), new QuestRequirement(Quest.DEATH_TO_THE_DORGESHUUN)
Lumbridge & Draynor	elite	Chop some magic logs at the Mage Training Arena.	new SkillRequirement(Skill.WOODCUTTING, 75)
Lumbridge & Draynor	elite	Smith an Adamant platebody down Draynor sewer.	new SkillRequirement(Skill.SMITHING, 88)
Lumbridge & Draynor	elite	Craft 140 or more Water runes simultaneously from Essence without the use of Extracts.	new SkillRequirement(Skill.RUNECRAFT, 76)
Morytania	easy	Craft any Snelm from scratch in Morytania.	new SkillRequirement(Skill.CRAFTING, 15)
Morytania	easy	Cook a thin Snail on the Port Phasmatys range.	new SkillRequirement(Skill.COOKING, 12)
Morytania	easy	Get a slayer task from the Slayer Master in Canifis.	new CombatLevelRequirement(20)
Morytania	easy	Kill a Banshee in the Slayer Tower.	new SkillRequirement(Skill.SLAYER, 15)
Morytania	easy	Place a Scarecrow in the Morytania flower patch.	new SkillRequirement(Skill.FARMING, 23)
Morytania	easy	Kill a werewolf in its human form using the Wolfbane Dagger.	new QuestRequirement(Quest.PRIEST_IN_PERIL)
Morytania	easy	Restore your prayer points at the nature altar.	new QuestRequirement(Quest.NATURE_SPIRIT)
Morytania	medium	Catch a swamp lizard.	new SkillRequirement(Skill.HUNTER, 29)
Morytania	medium	Complete a lap of the Canifis agility course.	new SkillRequirement(Skill.AGILITY, 40)
Morytania	medium	Obtain some Bark from a Hollow tree.	new SkillRequirement(Skill.WOODCUTTING, 45)
Morytania	medium	Kill a Terror Dog.	new SkillRequirement(Skill.SLAYER, 40), new QuestRequirement(Quest.LAIR_OF_TARN_RAZORLOR)
Morytania	medium	Complete a game of trouble brewing.	new SkillRequirement(Skill.COOKING, 40), new QuestRequirement(Quest.CABIN_FEVER)
Morytania	medium	Make a batch of cannonballs at the Port Phasmatys furnace.	new SkillRequirement(Skill.SMITHING, 35), new QuestRequirement(Quest.DWARF_CANNON)
Morytania	medium	Kill a Fever Spider on Braindeath Island.	new SkillRequirement(Skill.SLAYER, 42), new QuestRequirement(Quest.RUM_DEAL)
Morytania	medium	Use an ectophial to return to Port Phasmatys.	new QuestRequirement(Quest.GHOSTS_AHOY)
Morytania	medium	Mix a Guthix Balance potion while in Morytania.	new SkillRequirement(Skill.HERBLORE, 22), new QuestRequirement(Quest.IN_AID_OF_THE_MYREQUE, true)
Morytania	hard	Enter the Kharyrll portal in your POH.	new SkillRequirement(Skill.MAGIC, 66), new SkillRequirement(Skill.CONSTRUCTION, 50), new QuestRequirement(Quest.DESERT_TREASURE_I)
Morytania	hard	Climb the advanced spike chain within Slayer Tower.	new SkillRequirement(Skill.AGILITY, 71)
Morytania	hard	Harvest some Watermelon from the Allotment patch on Harmony Island.	new SkillRequirement(Skill.FARMING, 47), new QuestRequirement(Quest.THE_GREAT_BRAIN_ROBBERY, true)
Morytania	hard	Chop and burn some mahogany logs on Mos Le'Harmless.	new SkillRequirement(Skill.WOODCUTTING, 50), new SkillRequirement(Skill.FIREMAKING, 50), new QuestRequirement(Quest.CABIN_FEVER)
Morytania	hard	Complete a temple trek with a hard companion.	new QuestRequirement(Quest.IN_AID_OF_THE_MYREQUE)
Morytania	hard	Kill a Cave Horror.	new SkillRequirement(Skill.SLAYER, 58), new QuestRequirement(Quest.CABIN_FEVER)
Morytania	hard	Harvest some Bittercap Mushrooms from the patch in Canifis.	new SkillRequirement(Skill.FARMING, 53)
Morytania	hard	Pray at the Altar of Nature with Piety activated.	new SkillRequirement(Skill.PRAYER, 70), new SkillRequirement(Skill.DEFENCE, 70), new QuestRequirement(Quest.NATURE_SPIRIT), new QuestRequirement(Quest.KINGS_RANSOM)
Morytania	hard	Use the shortcut to get to the bridge over the Salve.	new SkillRequirement(Skill.AGILITY, 65)
Morytania	hard	Mine some Mithril ore in the Abandoned Mine.	new SkillRequirement(Skill.MINING, 55), new QuestRequirement(Quest.HAUNTED_MINE)
Morytania	elite	Catch a shark in Burgh de Rott with your bare hands.	new SkillRequirement(Skill.FISHING, 96), new SkillRequirement(Skill.STRENGTH, 76), new QuestRequirement(Quest.IN_AID_OF_THE_MYREQUE)
Morytania	elite	Cremate any Shade remains on a Magic or Redwood pyre.	new SkillRequirement(Skill.FIREMAKING, 80), new QuestRequirement(Quest.SHADES_OF_MORTTON)
Morytania	elite	Fertilize the Morytania herb patch using Lunar Magic.	new SkillRequirement(Skill.MAGIC, 83), new QuestRequirement(Quest.LUNAR_DIPLOMACY)
Morytania	elite	Craft a Black dragonhide body in Canifis bank.	new SkillRequirement(Skill.CRAFTING, 84)
Morytania	elite	Kill an Abyssal demon in the Slayer Tower.	new SkillRequirement(Skill.SLAYER, 85)
Morytania	elite	Loot the Barrows chest while wearing any complete barrows set.	new SkillRequirement(Skill.DEFENCE, 70), new OrRequirement( new SkillRequirement(Skill.ATTACK, 70), new SkillRequirement(Skill.STRENGTH, 70), new SkillRequirement(Skill.RANGED, 70), new SkillRequirement(Skill.MAGIC, 70) )
Varrock	easy	Have Aubury teleport you to the Essence mine.	new QuestRequirement(Quest.RUNE_MYSTERIES)
Varrock	easy	Mine some Iron in the south east mining patch near Varrock.	new SkillRequirement(Skill.MINING, 15)
Varrock	easy	Jump over the fence south of Varrock.	new SkillRequirement(Skill.AGILITY, 13)
Varrock	easy	Spin a bowl on the pottery wheel and fire it in the oven in Barb Village.	new SkillRequirement(Skill.CRAFTING, 8)
Varrock	easy	Craft some Earth runes from Essence.	new SkillRequirement(Skill.RUNECRAFT, 9)
Varrock	easy	Catch some trout in the River Lum at Barbarian Village.	new SkillRequirement(Skill.FISHING, 20)
Varrock	easy	Steal from the Tea stall in Varrock.	new SkillRequirement(Skill.THIEVING, 5)
Varrock	medium	Enter the Champions' Guild.	new QuestPointRequirement(32)
Varrock	medium	Select a colour for your kitten.	new QuestRequirement(Quest.GARDEN_OF_TRANQUILLITY, true), new QuestRequirement(Quest.GERTRUDES_CAT)
Varrock	medium	Use the spirit tree north of Varrock.	new QuestRequirement(Quest.TREE_GNOME_VILLAGE)
Varrock	medium	Enter the Tolna dungeon after completing A Soul's Bane.	new QuestRequirement(Quest.A_SOULS_BANE)
Varrock	medium	Teleport to the digsite using a Digsite pendant.	new QuestRequirement(Quest.THE_DIG_SITE)
Varrock	medium	Cast the teleport to Varrock spell.	new SkillRequirement(Skill.MAGIC, 25)
Varrock	medium	Get a Slayer task from Vannaka.	new CombatLevelRequirement(40)
Varrock	medium	Pick a White tree fruit.	new SkillRequirement(Skill.FARMING, 25), new QuestRequirement(Quest.GARDEN_OF_TRANQUILLITY)
Varrock	medium	Use the balloon to travel from Varrock.	new SkillRequirement(Skill.FIREMAKING, 40), new QuestRequirement(Quest.ENLIGHTENED_JOURNEY)
Varrock	medium	Complete a lap of the Varrock Agility course.	new SkillRequirement(Skill.AGILITY, 30)
Varrock	hard	Trade furs with the Fancy Dress Seller for a spottier cape and equip it.	new SkillRequirement(Skill.HUNTER, 66)
Varrock	hard	Make a Waka Canoe near Edgeville.	new SkillRequirement(Skill.WOODCUTTING, 57)
Varrock	hard	Teleport to Paddewwa.	new SkillRequirement(Skill.MAGIC, 54), new QuestRequirement(Quest.DESERT_TREASURE_I)
Varrock	hard	Chop some yew logs in Varrock and burn them at the top of the Varrock church.	new SkillRequirement(Skill.WOODCUTTING, 60), new SkillRequirement(Skill.FIREMAKING, 60)
Varrock	hard	Have the Varrock estate agent decorate your house with Fancy Stone.	new SkillRequirement(Skill.CONSTRUCTION, 50)
Varrock	hard	Collect at least 2 yew roots from the Tree patch in Varrock Palace.	new SkillRequirement(Skill.WOODCUTTING, 60), new SkillRequirement(Skill.FARMING, 68)
Varrock	hard	Pray at the altar in Varrock palace with Smite active.	new SkillRequirement(Skill.PRAYER, 52)
Varrock	hard	Squeeze through the obstacle pipe in Edgeville dungeon.	new SkillRequirement(Skill.AGILITY, 51)
Varrock	elite	Create a super combat potion in Varrock west bank.	new SkillRequirement(Skill.HERBLORE, 90), new QuestRequirement(Quest.DRUIDIC_RITUAL)
Varrock	elite	Use Lunar magic to make 20 mahogany planks at the Lumberyard.	new SkillRequirement(Skill.MAGIC, 86), new QuestRequirement(Quest.DREAM_MENTOR)
Varrock	elite	Bake a summer pie in the Cooking Guild.	new SkillRequirement(Skill.COOKING, 95)
Varrock	elite	Smith and fletch ten rune darts within Varrock.	new SkillRequirement(Skill.SMITHING, 89), new SkillRequirement(Skill.FLETCHING, 81), new QuestRequirement(Quest.THE_TOURIST_TRAP)
Varrock	elite	Craft 100 or more earth runes simultaneously from Essence without the use of Extracts.	new SkillRequirement(Skill.RUNECRAFT, 78)
Western Provinces	easy	Catch a Copper Longtail.	new SkillRequirement(Skill.HUNTER, 9)
Western Provinces	easy	Complete a novice game of Pest Control.	new CombatLevelRequirement(40)
Western Provinces	easy	Mine some Iron Ore near Piscatoris.	new SkillRequirement(Skill.MINING, 15)
Western Provinces	easy	Claim any Chompy bird hat from Rantz.	new QuestRequirement(Quest.BIG_CHOMPY_BIRD_HUNTING)
Western Provinces	easy	Have Brimstail teleport you to the Essence Mine.	new QuestRequirement(Quest.RUNE_MYSTERIES)
Western Provinces	easy	Fletch an Oak Shortbow in the Gnome Stronghold.	new SkillRequirement(Skill.FLETCHING, 20)
Western Provinces	medium	Take the agility shortcut from the Grand Tree to Otto's Grotto.	new SkillRequirement(Skill.AGILITY, 37), new QuestRequirement(Quest.TREE_GNOME_VILLAGE), new QuestRequirement(Quest.THE_GRAND_TREE)
Western Provinces	medium	Travel to the Gnome Stronghold by Spirit Tree.	new QuestRequirement(Quest.TREE_GNOME_VILLAGE)
Western Provinces	medium	Trap a Spined Larupia.	new SkillRequirement(Skill.HUNTER, 31)
Western Provinces	medium	Fish some Bass on Ape Atoll.	new SkillRequirement(Skill.FISHING, 46), new QuestRequirement(Quest.MONKEY_MADNESS_I, true)
Western Provinces	medium	Chop and burn some teak logs on Ape Atoll.	new SkillRequirement(Skill.WOODCUTTING, 35), new SkillRequirement(Skill.FIREMAKING, 35), new QuestRequirement(Quest.MONKEY_MADNESS_I, true)
Western Provinces	medium	Complete an intermediate game of Pest Control.	new CombatLevelRequirement(70)
Western Provinces	medium	Travel to the Feldip Hills by Gnome Glider.	new QuestRequirement(Quest.ONE_SMALL_FAVOUR), new QuestRequirement(Quest.THE_GRAND_TREE)
Western Provinces	medium	Claim a Chompy bird hat from Rantz after registering at least 125 kills.	new QuestRequirement(Quest.BIG_CHOMPY_BIRD_HUNTING)
Western Provinces	medium	Travel from Eagles' Peak to the Feldip Hills by Eagle.	new QuestRequirement(Quest.EAGLES_PEAK)
Western Provinces	medium	Make a Chocolate Bomb at the Grand Tree.	new SkillRequirement(Skill.COOKING, 42)
Western Provinces	medium	Complete a delivery for the Gnome Restaurant.	new SkillRequirement(Skill.COOKING, 29)
Western Provinces	medium	Turn your small crystal seed into a Crystal saw.	new QuestRequirement(Quest.THE_EYES_OF_GLOUPHRIE)
Western Provinces	medium	Mine some Gold ore underneath the Grand Tree.	new SkillRequirement(Skill.MINING, 40), new QuestRequirement(Quest.THE_GRAND_TREE)
Western Provinces	hard	Kill an Elf with a Crystal bow.	new SkillRequirement(Skill.RANGED, 70), new SkillRequirement(Skill.AGILITY, 56), new QuestRequirement(Quest.ROVING_ELVES)
Western Provinces	hard	Catch and cook a Monkfish in Piscatoris.	new SkillRequirement(Skill.FISHING, 62), new SkillRequirement(Skill.COOKING, 62), new QuestRequirement(Quest.SWAN_SONG)
Western Provinces	hard	Complete a Veteran game of Pest Control.	new CombatLevelRequirement(100)
Western Provinces	hard	Catch a Dashing Kebbit.	new SkillRequirement(Skill.HUNTER, 69)
Western Provinces	hard	Complete a lap of the Ape Atoll agility course.	new SkillRequirement(Skill.AGILITY, 48), new QuestRequirement(Quest.MONKEY_MADNESS_I)
Western Provinces	hard	Chop and burn some Mahogany logs on Ape Atoll.	new SkillRequirement(Skill.WOODCUTTING, 50), new SkillRequirement(Skill.FIREMAKING, 50), new QuestRequirement(Quest.MONKEY_MADNESS_I)
Western Provinces	hard	Mine some Adamantite ore in Tirannwn.	new SkillRequirement(Skill.MINING, 70), new QuestRequirement(Quest.REGICIDE)
Western Provinces	hard	Check the health of your Palm tree in Lletya.	new SkillRequirement(Skill.FARMING, 68), new QuestRequirement(Quest.MOURNINGS_END_PART_I, true)
Western Provinces	hard	Claim a Chompy bird hat from Rantz after registering at least 300 kills.	new QuestRequirement(Quest.BIG_CHOMPY_BIRD_HUNTING)
Western Provinces	hard	Build an Isafdar painting in your POH Quest hall.	new SkillRequirement(Skill.CONSTRUCTION, 65), new QuestRequirement(Quest.ROVING_ELVES)
Western Provinces	hard	Kill Zulrah.	new QuestRequirement(Quest.REGICIDE, true)
Western Provinces	hard	Teleport to Ape Atoll.	new SkillRequirement(Skill.MAGIC, 64), new QuestRequirement(Quest.RECIPE_FOR_DISASTER, true)
Western Provinces	hard	Pickpocket a Gnome.	new SkillRequirement(Skill.THIEVING, 75)
Western Provinces	elite	Fletch a Magic Longbow in Tirannwn.	new SkillRequirement(Skill.FLETCHING, 85), new QuestRequirement(Quest.MOURNINGS_END_PART_I)
Western Provinces	elite	Kill the Thermonuclear Smoke devil (Does not require task).	new SkillRequirement(Skill.SLAYER, 93)
Western Provinces	elite	Have Prissy Scilla protect your Magic tree.	new SkillRequirement(Skill.FARMING, 75)
Western Provinces	elite	Use the Elven overpass advanced cliffside shortcut.	new SkillRequirement(Skill.AGILITY, 85), new QuestRequirement(Quest.UNDERGROUND_PASS)
Western Provinces	elite	Claim a Chompy bird hat from Rantz after registering at least 1000 kills.	new QuestRequirement(Quest.BIG_CHOMPY_BIRD_HUNTING)
Western Provinces	elite	Pickpocket an Elf.	new SkillRequirement(Skill.THIEVING, 85), new QuestRequirement(Quest.MOURNINGS_END_PART_I, true)
Wilderness	easy	Cast Low Alchemy at the Fountain of Rune.	new SkillRequirement(Skill.MAGIC, 21)
Wilderness	easy	Kill an Earth Warrior in the Wilderness beneath Edgeville.	new SkillRequirement(Skill.AGILITY, 15)
Wilderness	easy	Mine some Iron ore in the Wilderness.	new SkillRequirement(Skill.MINING, 15)
Wilderness	easy	Have the Mage of Zamorak teleport you to the Abyss.	new QuestRequirement(Quest.ENTER_THE_ABYSS)
Wilderness	medium	Mine some Mithril ore in the wilderness.	new SkillRequirement(Skill.MINING, 55)
Wilderness	medium	Chop some yew logs from a fallen Ent.	new SkillRequirement(Skill.WOODCUTTING, 61)
Wilderness	medium	Enter the Wilderness Godwars Dungeon.	new OrRequirement( new SkillRequirement(Skill.AGILITY, 60), new SkillRequirement(Skill.STRENGTH, 60) )
Wilderness	medium	Complete a lap of the Wilderness Agility course.	new SkillRequirement(Skill.AGILITY, 52)
Wilderness	medium	Charge an Earth Orb.	new SkillRequirement(Skill.MAGIC, 60)
Wilderness	medium	Kill a Bloodveld in the Wilderness Godwars Dungeon.	new SkillRequirement(Skill.SLAYER, 50)
Wilderness	medium	Smith a Golden helmet in the Resource Area.	new SkillRequirement(Skill.SMITHING, 50), new QuestRequirement(Quest.BETWEEN_A_ROCK, true)
Wilderness	hard	Cast one of the 3 God spells against another player in the Wilderness.	new SkillRequirement(Skill.MAGIC, 60), new QuestRequirement(Quest.MAGE_ARENA_I)
Wilderness	hard	Charge an Air Orb.	new SkillRequirement(Skill.MAGIC, 66)
Wilderness	hard	Catch a Black Salamander in the Wilderness.	new SkillRequirement(Skill.HUNTER, 67)
Wilderness	hard	Smith an Adamant scimitar in the Resource Area.	new SkillRequirement(Skill.SMITHING, 75)
Wilderness	hard	Take the agility shortcut from Trollheim into the Wilderness.	new SkillRequirement(Skill.AGILITY, 64), new QuestRequirement(Quest.DEATH_PLATEAU)
Wilderness	hard	Kill a Spiritual warrior in the Wilderness Godwars Dungeon.	new SkillRequirement(Skill.SLAYER, 68)
Wilderness	hard	Fish some Raw Lava Eel in the Wilderness.	new SkillRequirement(Skill.FISHING, 53)
Wilderness	elite	Teleport to Ghorrock.	new SkillRequirement(Skill.MAGIC, 96), new QuestRequirement(Quest.DESERT_TREASURE_I)
Wilderness	elite	Fish and Cook a Dark Crab in the Resource Area.	new SkillRequirement(Skill.FISHING, 85), new SkillRequirement(Skill.COOKING, 90)
Wilderness	elite	Smith a rune scimitar from scratch in the Resource Area.	new SkillRequirement(Skill.MINING, 85), new SkillRequirement(Skill.SMITHING, 90)
Wilderness	elite	Steal from the Rogues' chest.	new SkillRequirement(Skill.THIEVING, 84)
Wilderness	elite	Slay a spiritual mage inside the wilderness Godwars Dungeon.	new SkillRequirement(Skill.SLAYER, 83), new OrRequirement( new SkillRequirement(Skill.AGILITY, 60), new SkillRequirement(Skill.STRENGTH, 60) )
Wilderness	elite	Cut and burn some magic logs in the Resource Area.	new SkillRequirement(Skill.WOODCUTTING, 75), new SkillRequirement(Skill.FIREMAKING, 75)
